centro_nro_registro,centro_tipo,dependecia_funcional,dependecia_patrimonial,oferta_asistecial,municipio_nombre,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_informacon_adicional,direccion_codigo_postal,localizacion_coordenada_x,localizacion_coordenada_y,latitud,longitud
CS12449,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Rafael Finat,45,BAJO,28044,434738,4470212,40.37994081887722,-3.76882714043182
CS12450,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Ave María,40,2ş Dcha.,28012,440513,4473498,40.4099750582896,-3.7011060655920525
CS12456,Banco de tejidos,Privado No Benéfico,Privados,Banco de tejidos,Madrid,CALLE,de Oruro,9,1ş,28016,442438,4478566,40.455765443929835,-3.678878794800407
CS12457,Otros centros especializados,Privado No Benéfico,Privados,Neurología,Madrid,CALLE,de Hilarión Eslava,55,3ş PUERTA 1 Y 2,28015,439231,4476703,40.438754489403266,-3.716520751090106
CS12458,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del General Asensio Cabanillas,7,10ş D,28003,439498,4477351,40.44461140981914,-3.7134345268778146
CS12462,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Colombia,39,,28016,442992,4478710,40.457100849667825,-3.672358350695731
CS12464,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Palafox,27,4ş INT. DCHA.,28010,440487,4475954,40.43209799912745,-3.7016423117599033
CS1247,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina general/de familia,Madrid,CALLE,de Monovar,11,,28033,444325,4480961,40.477469310769614,-3.6568353245149448
CS12476,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Alcalá,99,4ş D,28009,442014,4474767,40.421512771558056,-3.683532360417985
CS12481,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Fernán González,38,BAJO A,28009,442772,4474653,40.42053827846384,-3.674587475415743
CS12482,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Eduardo Barreiros,149,4ş F,28041,440164,4466957,40.35102527886656,-3.704604852143837
CS12483,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Francisco Silvela,27,1ş A,28028,443019,4475843,40.43127536483128,-3.671782749432046
CS12486,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Julio Rey Pastor,6,5ş DERECHA,28007,442664,4473234,40.40774774218514,-3.6757325747730243
CS12487,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Fernán González,55,BAJO LOCAL,28009,442782,4474479,40.418971483324874,-3.67445395176802
CS12488,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Podología,Madrid,AVDA,de Betanzos,68,,28034,439566,4481471,40.481730884762044,-3.71302508380493
CS1249,Centro Polivalente,Privado No Benéfico,Privados,Podología,Madrid,CALLE,de La Rioja,19,LOCAL- 3,28042,450245,4478859,40.45890903035858,-3.5868319521676666
CS12490,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Ruiz Perelló,12,LOCALES 7-8-9,28028,443487,4475696,40.42998304039664,-3.666252506333195
CS12497,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del General Arrando,10,3ş IZQDA.,28010,440952,4475899,40.43163567424571,-3.6961553622948404
CS12499,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Valencia,2,5ş G,28012,440520,4473310,40.40828196268731,-3.701005997342699
CS1250,Clínica dental,Privado No Benéfico,Privados,Cirugía maxilofacial,Madrid,CALLE,de Galileo,25,1şC,28015,439734,4475991,40.43237709368434,-3.7105228446489456
CS12502,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Seminario de Nobles,4,BAJO CTRO IZDA,28015,439463,4475520,40.428114443279,-3.7136727845004303
CS12503,Otros centros especializados,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Luis Ruiz,54,BAJO A,28017,445996,4475507,40.428447092523484,-3.636658700304113
CS12504,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Alcalá,119,BAJO DERECHA,28009,442244,4474897,40.422699873802756,-3.6808331355730837
CS12512,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de La Bańeza,9,1ş 3,28029,439605,4480877,40.476382758550805,-3.7125084043718166
CS12513,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CTRA,del Mediodía,42,BAJO B,28055,444882,4484642,40.51066656936727,-3.650584630225843
CS12519,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Larra,16,4ş DERECHA,28004,440601,4475508,40.428088376128066,-3.7002567014841055
CS1252,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Pinos Alta,112,LOCAL,28029,440577,4480224,40.470570399202295,-3.7009809048148004
CS12523,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,GTA,de Bilbao,1,2ş IZQUIERDA,28004,440392,4475644,40.42929857660284,-3.7027331859031833
CS12524,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de la Canoa,24,3ş D,28042,449872,4478365,40.45443636043026,-3.591192044969779
CS12525,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,AVDA,de Niza,13,5ş C,28022,448519,4475431,40.42792240018146,-3.606910261335609
CS12527,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Puentecesures,1 A,1ş A,28029,440915,4481143,40.47887322381894,-3.697079595597896
CS12529,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Finisterre,4,13 D,28029,440591,4480888,40.47655297021995,-3.700877958933888
CS1253,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Corregidor José de Pasamonte,29,LOCAL-1,28030,445079,4473591,40.411126634749856,-3.6473032014170514
CS12533,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Hermosilla,93,1ş IZDA.,28001,442658,4475264,40.42603463222255,-3.6759862851394938
CS12535,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Logopedia,Madrid,CALLE,de la Limonita,1,Local 1,28021,442677,4466081,40.343310195923024,-3.6749360867329024
CS12537,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Vacunación,Madrid,CALLE,de Furelos,3,LOCAL 11,28050,443665,4484173,40.50635986844005,-3.6649068376093883
CS12538,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,del Conde de Peńalver,35,1ş B,28006,442687,4475503,40.42818966401107,-3.6756659817799924
CS12544,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Doctor Casteló,30,2ş F,28009,442724,4474616,40.42020166067269,-3.6751499163474897
CS12547,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,de Mercedes Rodríguez,1,Local,28044,435889,4468887,40.36809399122474,-3.7551355076848023
CS12548,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Londres,28,2ş A,28028,443282,4475855,40.43140144186243,-3.6686833582585874
CS12551,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Canillas,31,BAJO 2 ,28002,442767,4477060,40.44222140193222,-3.674863143201972
CS12552,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Luis Ruiz,82,LOCAL 1,28017,446159,4475151,40.42525060288635,-3.6347070398932875
CS12553,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Orense,46,1ş B,28020,441129,4478733,40.457178157280445,-3.6943313950798995
CS12557,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Gutierre de Cetina,28,LOCAL,28017,445427,4475957,40.43246381219719,-3.6434049350124984
CS12558,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Rafael Calvo,5,LOCAL,28010,440908,4476138,40.433785571452376,-3.69669629129307
CS12559,Consulta médica,Privado No Benéfico,Privados,Medicina estética,Madrid,CALLE,de Ferraz,51,LOCAL 10,28008,438843,4475704,40.42972664370005,-3.720999141333424
CS12560,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,AVDA,de Pablo Neruda,15,LOCAL 8,28038,445513,4471358,40.39103893154512,-3.641997220499339
CS12562,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Portalegre,77,BAJO DCHA,28025,438592,4470758,40.38515237588634,-3.723480771641987
CS12563,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,AVDA,de la Peseta,94,,28054,436358,4468215,40.36207624195714,-3.749544749880612
CS12566,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Raimundo Lulio,3,,28010,440624,4476001,40.432531187458075,-3.7000316236539352
CS12567,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,Gran Vía,40,8 - 1,28013,440191,4474661,40.42042883713968,-3.705010188315495
CS12568,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Monasterio de Caaveiro,20,2ş B,28049,440883,4484156,40.50601314915998,-3.6977381903372293
CS12574,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Conde Rodríguez San Pedro,13,4ş 8,28015,442918,4470712,40.3850456042348,-3.67251316531229
CS12576,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Bravo Murillo,23,ENTREPLANTA,28015,440249,4476348,40.43563026287615,-3.7044851093678743
CS12577,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Andorra,101,BAJO A,28043,445506,4479167,40.46138639614335,-3.6427490163411265
CS12579,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Juan Bravo,64,1ş Dcha.,28006,442893,4475943,40.432167574394214,-3.6732771254762144
CS12580,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Rey Francisco,29,Bajo Derecha,28008,439088,4475297,40.42607819070279,-3.71807197851892
CS12582,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Martín de los Heros,53,1ş DERECHA,28008,439218,4475479,40.42772723291404,-3.716556964157256
CS12586,Centro de salud mental,Privado No Benéfico,Privados,Psiquiatría,Madrid,CALLE,de Fernández de la Hoz,30,Bajo interior,28010,441067,4476106,40.43350858203291,-3.6948188406023634
CS12587,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Fernández de los Ríos,3,1ş IZQDA,28015,440212,4476260,40.43483486108684,-3.7049130418702263
CS1259,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Miami,23,BAJO B,28027,446571,4476907,40.44109623151018,-3.6299980587829928
CS12592,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,PLAZA,de la República Dominicana,6,BAJO,28016,442665,4478917,40.45894310473588,-3.6762334659812224
CS12593,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Vallehermoso,68,3ş A,28015,439931,4476516,40.43712077209278,-3.708250049864021
CS12595,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Cardenal Vicente Enrique y Tarancón,12,1ş D,28051,449799,4468434,40.36496673466997,-3.591269437382094
CS12598,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Puente la Reina,32,LOCAL 2,28050,442630,4483704,40.502064007886716,-3.6770793754341162
CS12600,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Cocherón de la Villa,13,,28031,446415,4470347,40.38198969911214,-3.6312849139398247
CS12601,Otros centros especializados,Mutua de Accidentes de Trabajo,Mútua Patronal,Enfermería,Madrid,CALLE,de San Severo,30,BAJO,28042,450561,4479183,40.461846682435265,-3.583130333265375
CS12602,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Gasómetro,11,4ş F,28005,439940,4472922,40.40474502973799,-3.7078045220093405
CS12603,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Colombia,3,1ş D,28016,442554,4478739,40.45733193354041,-3.6775264517409627
CS12604,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Marqués de Urquijo,15,2ş B,28008,439111,4475728,40.429962505969456,-3.7178421395178205
CS12609,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,TRVA,de Téllez,8,1ş V,28007,442189,4472630,40.40227373835466,-3.6812754439031043
CS12610,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Juan Álvarez Mendizábal,13,1ş D,28008,439375,4475117,40.42447763557449,-3.7146717150836515
CS12615,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Monsalupe,9,LOCAL B,28047,436185,4472600,40.40156498342433,-3.7520212452637645
CS12616,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,Gran Vía,33,8ş IZDA.,28013,440252,4474615,40.4200188299533,-3.7042868689783583
CS12618,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Josefa Díaz,6,2ş D,28038,444172,4471665,40.39371577247517,-3.6578235914212773
CS12619,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de la Aeronave,9,,28042,450278,4480104,40.470126718238284,-3.5865403091693033
CS1262,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Nuestra Seńora de las Mercedes,8,LOCAL,28038,443610,4471989,40.39659669219074,-3.6644739321943263
CS12620,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Obstetricia,Madrid,CALLE,de López de Hoyos,84,,28002,442659,4477091,40.44249322395338,-3.6761393397132083
CS12622,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Campezo,3,NAVE 1,28022,450622,4477495,40.446643746893685,-3.5822795936523146
CS12623,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Pediatría,Madrid,CALLE,de Jimena Menéndez Pidal,8,A,28023,435152,4480221,40.47013757029987,-3.7649711944439535
CS12627,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,PLAZA,de San Amaro,9,3ş IZQDA,28020,440919,4478489,40.45496519911505,-3.6967852780375186
CS12628,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Alcalde López Casero,7 ,2ş A ESC. IZDA.,28027,444379,4476029,40.43304300585308,-3.6557661893666564
CS12629,Consulta médica,Privado No Benéfico,Privados,Medicina estética,Madrid,CALLE,del General Margallo,29,LOCAL,28020,441070,4479107,40.46054312548668,-3.6950619216203413
CS12633,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de la Primavera de Praga,11,2ş F,28030,444376,4473655,40.4116565021952,-3.655593898404861
CS12635,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Doctor Fleming,44,BAJO 7,28036,441701,4479169,40.46114615892745,-3.687625669610151
CS12636,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,PLAZA,de Manuel Becerra,16,4ş DERECHA EXT,28028,443328,4475440,40.42766604208912,-3.668104072891774
CS12638,Centro Polivalente,Privado No Benéfico,Privados,Cirugía maxilofacial,Madrid,AVDA,del Valle,13,1ş - Puerta100,28003,439263,4477214,40.44336012419105,-3.716192322903694
CS12641,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Sandoval,12,3ş F,28010,440278,4475740,40.43015521116463,-3.704086082686126
CS1265,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Téllez,20,BAJO,28007,442283,4472657,40.4025234900594,-3.6801702203473936
CS12652,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de José Miguel Guridi,78,,28043,446263,4478916,40.45917455629848,-3.6337995794953586
CS12653,Centro Polivalente,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Méndez Álvaro,77,BAJO 6,28045,442307,4471968,40.39631826673617,-3.67982497142479
CS12658,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Logopedia,Madrid,CALLE,de Ulises,100,,28043,445200,4478845,40.458465531078545,-3.646330224667448
CS12659,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de San Marcelo,12,LOCAL 7,28017,444294,4475335,40.42678539157339,-3.6567074506321484
CS1266,Consulta médica,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,del Lago Titicaca,3,BAJO,28032,448395,4472632,40.40269951792354,-3.608144956341753
CS12660,Otros centros especializados,Privado No Benéfico,Privados,Psiquiatría,Madrid,CALLE,de Fernández de la Hoz,31,BAJO IZQUIERDA,28010,441063,4476354,40.435742396752005,-3.6948889964015943
CS12662,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,del Espinar,12,Local 2,28047,436798,4470900,40.38629741468387,-3.7446292723707457
CS12664,Consulta médica,Privado No Benéfico,Privados,Dermatología,Madrid,CALLE,de Ibiza,35,1ş CENTRO,28009,442822,4474406,40.41831661041591,-3.6739759223506896
CS12665,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Hermosilla,88,1ş D,28001,442660,4475241,40.425827574350386,-3.675960635052944
CS12667,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de los Reyes Magos,10,S1 A,28009,442740,4473642,40.41142845624147,-3.6748736515531357
CS1267,Otros centros especializados,Mutua de Accidentes de Trabajo,Mútua Patronal,Rehabilitación,Madrid,CALLE,de Ramírez de Arellano,27,,28043,444246,4477662,40.44774501588076,-3.6574774537210266
CS12673,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,AVDA,de Montecarmelo,7,BAJO,28049,440824,4483828,40.50305420593452,-3.698403849712653
CS1268,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Pediatría,Madrid,CALLE,de Eloy Gonzalo,24,,28010,440523,4476184,40.43417251772499,-3.701239435265937
CS12681,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Concejal Francisco José Jiménez Martín,80,2ş A,28047,437070,4472604,40.40166837236134,-3.7415932842226276
CS12682,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,GTA,de Ruiz Jiménez,4,1ş D,28015,440172,4475719,40.42995841666535,-3.705333692022807
CS12687,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Psicología clínica,Madrid,CALLE,de Arturo Soria,329,1ş D,28033,443437,4481307,40.480526223759945,-3.6673418507884525
CS12688,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de la Estefanita,2,,28021,442562,4466663,40.34854531220177,-3.676342405655429
CS12689,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Rafael de Riego,41,2ş A,28045,441256,4472541,40.40140667906211,-3.692261441916807
CS12692,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Concejal Francisco José Jiménez Martín,156,BAJO 16,28047,436280,4472447,40.40019397325293,-3.7508865043374073
CS12697,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Martínez Izquierdo,16,,28028,443185,4476063,40.43326859226578,-3.6698454698181395
CS1270,Consulta médica,Privado No Benéfico,Privados,Dermatología,Madrid,CALLE,de López de Hoyos,164,1şA,28002,443120,4477505,40.446254403358054,-3.6707408613380816
CS12705,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Canillas,1,1ş F,28002,442462,4476832,40.44014641827494,-3.678438664030463
CS12708,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Casco Antiguo,10,,28032,448490,4472623,40.40262432245043,-3.6070247494307415
CS1271,Centro Polivalente,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,de la Virgen de las Vińas,9,local,28031,448531,4470190,40.38070872557955,-3.606344986130243
CS12714,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,del Damasquillo,7,local11,28044,435072,4470511,40.382660422363536,-3.7649232107994934
CS12715,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de José Gutiérrez Maroto,3,LOCAL 2,28051,448932,4468730,40.367580664925384,-3.601504174526645
CS12716,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,AVDA,del Mediterráneo,47,1şD,28007,443264,4473139,40.40693303756691,-3.6686532731760484
CS12718,Servicio sanitario integrado en una organización no sanitaria,Privado No Benéfico,Privados,Depósito de medicamentos,Madrid,CALLE,de Andrés Mellado,3,BAJO DERECHA,28015,439375,4475831,40.430909656511886,-3.714739803134815
CS12719,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Ferrer del Río,19,4ş C,28028,443035,4476245,40.43489788031215,-3.671630159058963
CS12720,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Sandoval,4,4ş IZQDA,28010,440335,4475741,40.430168310022964,-3.703414229252282
CS12721,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PLAZA,de las Cortes,5 ,LOCAL BAJO IZQ,28014,441008,4474144,40.41582977187912,-3.695332368710291
CS12735,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Francisco Lizcano,3,3ş C,28044,435669,4468769,40.36701404747307,-3.7577146727674844
CS12736,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Príncipe de Vergara,205,1şD,28002,442493,4477893,40.44970655558062,-3.6781692209236874
CS12737,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Colombia,39-41,1ş A,28016,443158,4478639,40.45647261890527,-3.670394299121954
CS12738,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Costa Rica,38,1ş D,28016,443137,4478834,40.45822783400544,-3.6706594244971913
CS12740,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de San Antonio de Padua,37,LOCAL,28026,440512,4470801,40.38567904597066,-3.700865861457019
CS12742,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Olmo,15,BAJO IZQDA,28012,440530,4473679,40.41160680893807,-3.7009226372809554
CS12744,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Luis Vélez de Guevara,7,1ş IZQDA,28012,440413,4473845,40.413093849318145,-3.70231706628408
CS12746,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de San Bernardo,84,LOCAL,28015,440122,4475564,40.42855850967788,-3.7059085174393047
CS12748,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Fernández de los Ríos,27,1ş F,28015,439982,4476276,40.43496243025877,-3.7076261052822175
CS12749,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Puentelarra,5,,28031,448475,4470469,40.38321869199826,-3.6070272354080752
CS1275,Centro Polivalente,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Almagro,36,ENTREPLANTA D,28010,441292,4475830,40.431038156648604,-3.692140785857857
CS12750,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Fisioterapia,Madrid,AVDA,de Donostiarra,18,LOCAL 3,28027,444248,4476200,40.43457469408134,-3.6573255710825068
CS12751,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del General Pardińas,32,LOCAL IZQDA.,28001,442454,4475320,40.426525022804995,-3.678396084203895
CS12754,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Jordán,3,SÓTANO 8,28010,440329,4476036,40.43282537197419,-3.7035126548017505
CS12755,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,del Doctor Ramón Castroviejo,3,13ş A,28029,439545,4481230,40.47955834303341,-3.713249853627967
CS12756,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Abada,2,2D OFICINA 3,28013,440293,4474505,40.41903084146374,-3.7037932843504384
CS12757,Centro de salud mental,Privado No Benéfico,Privados,Hospital de día,Madrid,CALLE,de Carlos Ruiz,4,,28023,430335,4480262,40.47011689113741,-3.8217934703027394
CS12759,Consulta médica,Privado No Benéfico,Privados,Psiquiatría,Madrid,CALLE,de Félix Boix,9,8ş B,28036,441754,4479427,40.4634740512426,-3.6870242661855874
CS1276,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina general/de familia,Madrid,CALLE,de Alcalá,425,,28027,445963,4476604,40.438327348740835,-3.6371409886149304
